Nr;Kategori;Allvarlighet;Status;Beskrivning;Detaljer;Föreslagen åtgärd
19;Användarvänlighet;HÖG;Åtgärdad 2026-04-18;Manuell baslinje syntes inte i nyckeltal-kortet vid normal användning;"'▼ Visa beräkningsunderlag' dolde vilken baslinje som användes. En nybörjare kunde inte se om manuell baslinje var aktiv utan att expandera.";"Blå badge '📌 Manuell baslinje aktiv' visas i nk-total-sub om data.historik har en manuell post — fixat"
20;Användarvänlighet;MEDEL;Bekräftad – ej åtgärdad;Importflödet ger ingen bekräftelse om vilka filer som redan importerats;"Importera-fliken visar senaste importdatum men inte vilka filer som importerats. Användaren vet inte om de importerar en dublett.";"Visa filnamnet på senaste importerade positionsfil och transaktionsfil"
21;Användarvänlighet;MEDEL;Bekräftad – ej åtgärdad;Ombalanseringsassistenten visar Köp/Sälj utan kontextuell ordning;"Kategorierna visas alltid i standardordning 1–6 oavsett hur stor avvikelse de har. Mest kritiska ombalanseringsbehov visas inte först.";"Sortera ombalanseringskort efter avvikelsestorlek (störst behov överst)"
22;Användarvänlighet;MEDEL;Bekräftad – ej åtgärdad;Global periodväljare styr inte Beslutslogg eller Transaktioner;"Periodväljaren påverkar Dashboard, Kategorier och Innehav men inte Transaktioner eller Beslutslogg. Detta är inkonsekvent — en vald period '30D' borde filtrera transaktionslistan.";"Antingen filtrera transaktionslistan per period, eller tydliggör i hjälpen att perioden ej påverkar dessa flikar"
23;Användarvänlighet;MEDEL;Bekräftad – ej åtgärdad;ISK/KF-skattekalkylen visar inget om inga kvartalsvärden finns i historiken;"En användare utan importerad historik ser ett tomt ISK-kort utan förklaring. Inte uppenbart att kvartalsvärden från historikimport behövs.";"Lägg till tomtillstånd med förklaring: 'Importera positionsfiler för Q1–Q4 för att se skatteprognos'"
24;Användarvänlighet;LÅG;Bekräftad – ej åtgärdad;Mörkt tema sparas inte mellan sessioner på alla plattformar;"Temat sparas i localStorage.portfölj_tema men localStorage kan rensas automatiskt av iOS Safari i privat läge eller vid låg lagring. Användaren kan förlora temainställningen oväntat.";"Dokumentera begränsningen i FAQ: 'Tema kan återställas om Safari rensar localStorage'"
25;Prestanda;MEDEL;Misstänkt;Alpha Vantage-hämtning blockerar UI under rate limit-väntan;"hämtaAllaMA200() väntar 15 sekunder mellan anrop med setTimeout. Ingenting indikerar för användaren att processen pågår om de byter flik under väntetiden.";"Visa en status-counter 'Hämtar MA200 X/Y — väntar Ns...' som uppdateras i realtid"
26;Prestanda;LÅG;Misstänkt;Stora transaktionsfiler kan orsaka tröghet i renderTransaktioner();"Transaktionslistan renderas utan virtualisering eller paginering. En CSV med >1000 rader renderas som fullständig DOM-lista.";"Lägg till paginering eller 'Visa fler'-knapp efter 100 rader"
27;Säkerhet;MEDEL;Redan åtgärdad (finns som password-fält);Alpha Vantage API-nyckel visas som lösenordsfält;"API-nyckeln var sedan tidigare implementerad med type='password' i inmatningsfältet (rad 742). Bra — vid manuell inspektion bekräftades detta.";"Ingen åtgärd behövs"
28;Säkerhet;LÅG;Bekräftad – ej åtgärdad;Excel-backup innehåller potentiellt känslig finansiell data utan lösenordsskydd;"Exporten skapar en .xlsx utan kryptering. Om filen hamnar fel (molnsynk, delad mapp) är alla portföljdata tillgängliga.";"Dokumentera i hjälpen att backup-filen innehåller känsliga finansdata och bör lagras säkert"
29;Konsistens;MEDEL;Åtgärdad 2026-04-18 (via bugg #2);Signalband på Dashboard och Signaler-fliken kan visa olika antal röda signaler;"Signalbandet beräknade ombalansering med tot utan kassa medan renderSignaler använde tot med kassa — nu konsekvent.";"Se åtgärd bugg #2 — fixat"
30;Konsistens;MEDEL;Bekräftad – ej åtgärdad;Kategoriprestation-badge och Avkastningsstaplar kan visa olika % för samma kategori;"Avkastningsbadge på kategorikort beräknas i renderKategorier(), staplar i renderDashboard(). Om de använder olika startpunkter/logik kan de divergera.";"Verifiera att beräknaKategoriAvkastning() anropas med exakt samma parametrar i båda kontexterna"
